0.4,1224152.92129134,1145316.78656313
0.5,1222342.77907151,1137264.38980982
0.6,1229148.7136558,1134233.32141734
0.61,18670018754.1921,1381015.72277409
0.62,2364414657.73069,1381075.30184251
0.65,156204497.395366,1381202.89597301
0.7,20139242.4093735,1381273.94484248
0.8,2704807.97930229,1381231.104096
0.9,20139313.6030569,1381395.87675278
0.95,156205068.874215,1381519.32391598
0.98,2364424636.80198,1381568.94227054
0.99,18670101671.6618,1381578.57788503
1,1232521.85957373,1131614.09412746
1.1,1222793.72665919,1129476.12770693
1.2,1216157.7162284,1127120.87193363
