1,5.051202E-07,7.107102E-05,9.999747E-01,-7.107181E-03,1.421436E-04,9.100360E+06,1.639738E+06,-3.287482E+00,4.675902E-02,1.074009E+07,5.459453E+06,0.000000E+00,9.036900E+04,-1.175545E+02,-3.643361E+01,-3.643361E+01,5.902770E+01,2.547744E+07,1.674175E+07,3.132448E+03,3.132448E+03,8.674722E-02,0.000000E+00,8.691914E-02,3.342707E-02,7.845036E-06,4.764721E-05,1.815974E-02,1.564551E-02,-1.291981E+00,9.182576E-03,0.000000E+00,6.991321E-06,1.916029E-04,4.967885E-01,1.165996E-04,7.078359E-04,2.698703E-01,2.325167E-01,1.229450E+02,4.274953E+01,3.487139E-05,1.433925E-01,0.000000E+00,9.050611E+04,-6.055737E+02
2,2.526082E-06,2.132172E-04,9.997727E-01,-2.132216E-02,1.421846E-04,9.071273E+06,1.634015E+06,-1.564931E+01,2.226595E-01,1.070527E+07,5.456469E+06,0.000000E+00,9.029886E+04,-1.196847E+02,-9.763919E+01,-9.763919E+01,6.196503E+01,2.547744E+07,1.674175E+07,3.132020E+03,3.132020E+03,8.674063E-02,0.000000E+00,8.691252E-02,3.340289E-02,7.841465E-06,4.753463E-05,1.814198E-02,1.563294E-02,-1.292445E+00,2.756397E-02,0.000000E+00,6.991575E-06,1.938432E-04,4.968253E-01,1.166153E-04,7.070454E-04,2.698326E-01,2.325184E-01,1.536660E+02,4.780828E+01,3.119847E-05,1.602760E-01,0.000000E+00,9.039972E+04,-1.826510E+03
3,6.568315E-06,3.553439E-04,9.993684E-01,-3.553519E-02,1.421910E-04,9.056307E+06,1.630699E+06,-1.665380E+01,2.387361E-01,1.068699E+07,5.452454E+06,0.000000E+00,9.019414E+04,-1.289591E+02,-1.527090E+02,-1.527090E+02,7.002830E+01,2.547744E+07,1.674175E+07,3.131443E+03,3.131443E+03,8.657071E-02,0.000000E+00,8.674408E-02,3.337604E-02,7.832840E-06,4.742592E-05,1.812112E-02,1.561869E-02,-1.290619E+00,4.589137E-02,0.000000E+00,6.939314E-06,1.972652E-04,4.968786E-01,1.166054E-04,7.060370E-04,2.697785E-01,2.325203E-01,1.982365E+02,5.432605E+01,2.747667E-05,1.819718E-01,0.000000E+00,9.026547E+04,-3.050137E+03
4,1.263197E-05,4.974174E-04,9.987621E-01,-4.974290E-02,1.422219E-04,9.044235E+06,1.629457E+06,-8.356115E+00,1.208905E-01,1.067368E+07,5.446611E+06,0.000000E+00,9.006558E+04,-1.435248E+02,-2.092349E+02,-2.092349E+02,8.243702E+01,2.547744E+07,1.674175E+07,3.130604E+03,3.130604E+03,8.638715E-02,0.000000E+00,8.656210E-02,3.334393E-02,7.821817E-06,4.730810E-05,1.809855E-02,1.560211E-02,-1.288590E+00,6.417766E-02,0.000000E+00,6.886058E-06,2.029075E-04,4.969200E-01,1.165267E-04,7.051064E-04,2.697373E-01,2.325211E-01,2.511490E+02,6.118265E+01,2.441999E-05,2.047349E-01,0.000000E+00,9.009736E+04,-4.267561E+03
5,2.071766E-05,6.394261E-04,9.979535E-01,-6.394412E-02,1.422626E-04,9.055675E+06,1.634535E+06,4.854932E+00,-7.161827E-02,1.069021E+07,5.439269E+06,0.000000E+00,8.990053E+04,-1.637692E+02,-2.688029E+02,-2.688029E+02,9.957618E+01,2.547744E+07,1.674175E+07,3.129549E+03,3.129549E+03,8.631816E-02,0.000000E+00,8.649365E-02,3.329481E-02,7.795879E-06,4.718770E-05,1.807136E-02,1.557891E-02,-1.288458E+00,8.255825E-02,0.000000E+00,6.873406E-06,2.110135E-04,4.969267E-01,1.163281E-04,7.042667E-04,2.697315E-01,2.325212E-01,3.111357E+02,6.814951E+01,2.195083E-05,2.277522E-01,0.000000E+00,8.987377E+04,-5.474694E+03
6,3.082626E-05,7.813532E-04,9.969426E-01,-7.813720E-02,1.423180E-04,9.075637E+06,1.642677E+06,1.397791E+01,-2.066893E-01,1.071833E+07,5.430860E+06,0.000000E+00,8.969091E+04,-1.896944E+02,-3.298732E+02,-3.298732E+02,1.214937E+02,2.547744E+07,1.674175E+07,3.128338E+03,3.128338E+03,8.634256E-02,0.000000E+00,8.651776E-02,3.322736E-02,7.758723E-06,4.703806E-05,1.803838E-02,1.554850E-02,-1.290028E+00,1.011083E-01,0.000000E+00,6.891094E-06,2.208122E-04,4.968982E-01,1.160206E-04,7.033285E-04,2.697605E-01,2.325220E-01,3.757278E+02,7.496328E+01,1.998861E-05,2.501003E-01,0.000000E+00,8.959231E+04,-6.670801E+03
7,4.295845E-05,9.231781E-04,9.957294E-01,-9.232005E-02,1.423750E-04,9.091466E+06,1.649526E+06,1.329677E+01,-1.974556E-01,1.074101E+07,5.420078E+06,0.000000E+00,8.943415E+04,-2.208845E+02,-3.912866E+02,-3.912866E+02,1.479835E+02,2.547744E+07,1.674175E+07,3.126785E+03,3.126785E+03,8.642986E-02,0.000000E+00,8.660449E-02,3.314393E-02,7.715934E-06,4.683860E-05,1.799825E-02,1.551117E-02,-1.292844E+00,1.198673E-01,0.000000E+00,6.918198E-06,2.329911E-04,4.968574E-01,1.156704E-04,7.020074E-04,2.698014E-01,2.325235E-01,4.432056E+02,8.151449E+01,1.841936E-05,2.714010E-01,0.000000E+00,8.924767E+04,-7.854367E+03
8,5.711565E-05,1.064885E-03,9.943137E-01,-1.064911E-01,1.424562E-04,9.097652E+06,1.652590E+06,2.211560E+00,-3.397468E-02,1.075024E+07,5.406648E+06,0.000000E+00,8.913137E+04,-2.566719E+02,-4.509355E+02,-4.509355E+02,1.785513E+02,2.547744E+07,1.674175E+07,3.124846E+03,3.124846E+03,8.648236E-02,0.000000E+00,8.665788E-02,3.304932E-02,7.670978E-06,4.658455E-05,1.794975E-02,1.546782E-02,-1.295419E+00,1.387395E-01,0.000000E+00,6.924679E-06,2.473211E-04,4.968359E-01,1.153210E-04,7.001773E-04,2.698242E-01,2.325244E-01,5.112607E+02,8.767193E+01,1.716574E-05,2.912176E-01,0.000000E+00,8.884223E+04,-9.025434E+03
9,7.329905E-05,1.206454E-03,9.926953E-01,-1.206484E-01,1.425339E-04,9.094955E+06,1.653360E+06,-1.418892E+01,2.054319E-01,1.074830E+07,5.391354E+06,0.000000E+00,8.878391E+04,-2.857898E+02,-5.100771E+02,-5.100771E+02,2.075761E+02,2.547744E+07,1.674175E+07,3.122634E+03,3.122634E+03,8.643108E-02,0.000000E+00,8.661022E-02,3.294606E-02,7.624520E-06,4.628217E-05,1.789196E-02,1.541885E-02,-1.296706E+00,1.575967E-01,0.000000E+00,6.901073E-06,2.629195E-04,4.968549E-01,1.149862E-04,6.978227E-04,2.698083E-01,2.325241E-01,5.759829E+02,9.320368E+01,1.618927E-05,3.087813E-01,0.000000E+00,8.836967E+04,-1.018171E+04
10,9.150991E-05,1.347865E-03,9.908742E-01,-1.347899E-01,1.426313E-04,9.083189E+06,1.652218E+06,-3.268670E+01,4.710939E-01,1.073538E+07,5.372984E+06,0.000000E+00,8.838971E+04,-3.179779E+02,-5.683095E+02,-5.683095E+02,2.399606E+02,2.547744E+07,1.660049E+07,3.119970E+03,3.119970E+03,8.631047E-02,0.000000E+00,8.649243E-02,3.283355E-02,7.576429E-06,4.592644E-05,1.782442E-02,1.536410E-02,-1.297168E+00,1.764553E-01,0.000000E+00,6.866670E-06,2.807106E-04,4.969208E-01,1.146660E-04,6.949358E-04,2.697462E-01,2.325234E-01,6.414641E+02,9.853395E+01,1.535780E-05,3.254992E-01,0.000000E+00,8.783365E+04,-1.132021E+04
