%Mat Object: 1 MPI processes
%  type: seqaij
% Size = 23 23 
% Nonzeros = 155 
zzz = zeros(155,3);
zzz = [
1 1  1.7361111111111114e-03
1 2  8.6805555555555529e-04
1 3  8.6805555555555540e-04
1 4  4.3402777777777743e-04
2 1  8.6805555555555529e-04
2 2  3.4722222222222229e-03
2 3  4.3402777777777754e-04
2 4  1.7361111111111106e-03
2 5  1.0850694444444438e-03
2 7  2.1701388888888871e-04
3 1  8.6805555555555540e-04
3 2  4.3402777777777754e-04
3 3  3.4722222222222229e-03
3 4  1.7361111111111106e-03
3 6  1.0850694444444441e-03
3 7  2.1701388888888871e-04
4 1  4.3402777777777743e-04
4 2  1.7361111111111106e-03
4 3  1.7361111111111106e-03
4 4  6.9444444444444449e-03
4 5  1.3020833333333328e-03
4 6  1.3020833333333326e-03
4 7  2.1701388888888881e-03
5 2  1.0850694444444438e-03
5 4  1.3020833333333328e-03
5 5  1.0416666666666668e-02
5 6  1.0850694444444437e-04
5 7  5.3168402777777762e-03
5 8  3.4722222222222207e-03
5 10  1.7361111111111097e-03
6 3  1.0850694444444441e-03
6 4  1.3020833333333326e-03
6 5  1.0850694444444437e-04
6 6  1.0416666666666668e-02
6 7  5.3168402777777762e-03
6 14  3.4722222222222216e-03
6 15  1.7361111111111097e-03
7 2  2.1701388888888871e-04
7 3  2.1701388888888871e-04
7 4  2.1701388888888881e-03
7 5  5.3168402777777762e-03
7 6  5.3168402777777762e-03
7 7  2.6258680555555556e-02
7 8  1.7361111111111099e-03
7 10  6.9444444444444423e-03
7 14  1.7361111111111101e-03
7 15  6.9444444444444423e-03
7 18  1.7361111111111097e-03
8 5  3.4722222222222207e-03
8 7  1.7361111111111099e-03
8 8  1.3888888888888888e-02
8 9  3.4722222222222203e-03
8 10  6.9444444444444415e-03
8 11  1.7361111111111095e-03
9 8  3.4722222222222203e-03
9 9  1.3888888888888890e-02
9 10  1.7361111111111097e-03
9 11  6.9444444444444415e-03
9 12  3.4722222222222212e-03
9 13  1.7361111111111097e-03
10 5  1.7361111111111097e-03
10 7  6.9444444444444423e-03
10 8  6.9444444444444415e-03
10 9  1.7361111111111097e-03
10 10  2.7777777777777776e-02
10 11  6.9444444444444406e-03
10 15  1.7361111111111099e-03
10 18  7.8124999999999965e-03
10 19  8.6805555555555475e-04
11 8  1.7361111111111095e-03
11 9  6.9444444444444415e-03
11 10  6.9444444444444406e-03
11 11  2.7777777777777776e-02
11 12  1.7361111111111101e-03
11 13  6.9444444444444423e-03
11 18  5.2083333333333304e-03
11 19  5.2083333333333304e-03
12 9  3.4722222222222212e-03
12 11  1.7361111111111101e-03
12 12  6.9444444444444458e-03
12 13  3.4722222222222207e-03
13 9  1.7361111111111097e-03
13 11  6.9444444444444423e-03
13 12  3.4722222222222207e-03
13 13  1.3888888888888890e-02
13 18  8.6805555555555507e-04
13 19  4.3402777777777762e-03
14 6  3.4722222222222216e-03
14 7  1.7361111111111101e-03
14 14  1.3888888888888892e-02
14 15  6.9444444444444423e-03
14 16  3.4722222222222216e-03
14 17  1.7361111111111097e-03
15 6  1.7361111111111097e-03
15 7  6.9444444444444423e-03
15 10  1.7361111111111099e-03
15 14  6.9444444444444423e-03
15 15  2.7777777777777780e-02
15 16  1.7361111111111099e-03
15 17  6.9444444444444423e-03
15 18  7.8124999999999965e-03
15 22  8.6805555555555486e-04
16 14  3.4722222222222216e-03
16 15  1.7361111111111099e-03
16 16  1.3888888888888892e-02
16 17  6.9444444444444423e-03
16 20  3.4722222222222216e-03
16 21  1.7361111111111097e-03
17 14  1.7361111111111097e-03
17 15  6.9444444444444423e-03
17 16  6.9444444444444423e-03
17 17  2.7777777777777780e-02
17 18  5.2083333333333304e-03
17 20  1.7361111111111101e-03
17 21  6.9444444444444423e-03
17 22  5.2083333333333304e-03
18 7  1.7361111111111097e-03
18 10  7.8124999999999965e-03
18 11  5.2083333333333304e-03
18 13  8.6805555555555507e-04
18 15  7.8124999999999965e-03
18 17  5.2083333333333304e-03
18 18  6.2500000000000000e-02
18 19  2.0833333333333329e-02
18 21  8.6805555555555497e-04
18 22  2.0833333333333329e-02
18 23  6.9444444444444389e-03
19 10  8.6805555555555475e-04
19 11  5.2083333333333304e-03
19 13  4.3402777777777762e-03
19 18  2.0833333333333329e-02
19 19  4.1666666666666664e-02
19 22  6.9444444444444397e-03
19 23  1.3888888888888883e-02
20 16  3.4722222222222216e-03
20 17  1.7361111111111101e-03
20 20  6.9444444444444467e-03
20 21  3.4722222222222216e-03
21 16  1.7361111111111097e-03
21 17  6.9444444444444423e-03
21 18  8.6805555555555497e-04
21 20  3.4722222222222216e-03
21 21  1.3888888888888890e-02
21 22  4.3402777777777762e-03
22 15  8.6805555555555486e-04
22 17  5.2083333333333304e-03
22 18  2.0833333333333329e-02
22 19  6.9444444444444397e-03
22 21  4.3402777777777762e-03
22 22  4.1666666666666671e-02
22 23  1.3888888888888886e-02
23 18  6.9444444444444389e-03
23 19  1.3888888888888883e-02
23 22  1.3888888888888886e-02
23 23  2.7777777777777776e-02
];
 Mat_0x3f65e00_0 = spconvert(zzz);
